CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_BIRTHDAY
c10,bc10,0013-03-14
c15,bc15,0019-09-09
c3,bc3,0019-06-24
c41,bc41,0006-02-23
c75,bc75,0012-06-20
c57,bc57,0020-07-09
c71,bc71,0016-05-11
c69,bc69,0014-06-28
c1,bc1,0025-07-22
c72,bc72,0008-04-28
c8,bc8,0023-12-21
c17,bc17,0007-08-05
c6,bc6,0004-11-02
c25,bc25,0023-09-22
c16,bc16,0015-03-30
c59,bc59,0020-11-11
c23,bc23,0007-01-16
c31,bc31,0001-02-10
c46,bc46,0002-12-09
c18,bc18,0002-09-28
c24,bc24,0018-08-14
c36,bc36,0026-03-28
c37,bc37,0013-09-04
c41,bc41,0011-12-12
c52,bc52,0027-03-02
c7,bc7,0001-05-02
c38,bc38,0006-05-16
c47,bc47,0010-09-27
c19,bc19,0022-08-16
c80,bc80,0021-01-15
c97,bc97,0018-09-23
c8,bc8,0010-08-04
c18,bc18,0010-10-10
c9,bc9,0009-10-25
c39,bc39,0025-08-24
c50,bc50,0022-08-01
c56,bc56,0027-03-02
c70,bc70,0023-06-08
c22,bc22,0022-07-18
c49,bc49,0012-05-20
c58,bc58,0012-11-26
c99,bc99,0002-10-20
c6,bc6,0002-01-27
c28,bc28,0002-10-04
c29,bc29,0008-05-17
c40,bc40,0021-06-28
c65,bc65,0024-11-13
c21,bc21,0015-06-28
c64,bc64,0023-12-10
c1,bc1,0022-08-18
c38,bc38,0005-05-10
c72,bc72,0001-02-13
c30,bc30,0019-10-24
c54,bc54,0009-09-26
c98,bc98,0015-11-26
c1,bc1,0020-03-18
c56,bc56,0012-01-21
c51,bc51,0018-04-22
c17,bc17,0006-01-24
c53,bc53,0008-05-08
c61,bc61,0015-04-01
c4,bc4,0019-05-21
c50,bc50,0005-11-02
c50,bc50,0003-12-09
c77,bc77,0016-05-13
c83,bc83,0026-07-20
c14,bc14,0017-06-22
c61,bc61,0010-02-27
c27,bc27,0026-12-18
c41,bc41,0017-06-05
c2,bc2,0012-03-05
c13,bc13,0011-04-16
c19,bc19,0014-02-12
c24,bc24,0015-06-22
c26,bc26,0020-11-07
c32,bc32,0017-11-10
c26,bc26,0026-11-26
c71,bc71,0026-01-02
c93,bc93,0026-08-27
c45,bc45,0019-05-31
c60,bc60,0017-03-09
c60,bc60,0019-11-10
c4,bc4,0025-07-09
c23,bc23,0009-12-20
c44,bc44,0005-11-07
c73,bc73,0010-01-09
c24,bc24,0007-11-03
c65,bc65,0019-02-19
c74,bc74,0019-09-10
c14,bc14,0002-08-03
c19,bc19,0002-02-22
c33,bc33,0001-08-19
c89,bc89,0001-09-05
c28,bc28,0015-12-11
c48,bc48,0001-10-17
c55,bc55,0002-11-13
c34,bc34,0025-03-24
c10,bc10,0002-03-13
c12,bc12,0009-03-25
c49,bc49,0013-06-06
c8,bc8,0025-11-02
c64,bc64,0003-10-20
c18,bc18,0026-06-12
c34,bc34,0014-01-31
c61,bc61,0005-01-26
c46,bc46,0002-12-06
c68,bc68,0004-05-05
c3,bc3,0012-11-04
c34,bc34,0014-09-27
c55,bc55,0014-09-17
c59,bc59,0009-04-20
c4,bc4,0011-12-28
c6,bc6,0027-01-07
c42,bc42,0020-11-25
c57,bc57,0010-05-10
c66,bc66,0014-09-21
c78,bc78,0002-01-30
c81,bc81,0015-10-28
c64,bc64,0008-09-23
c36,bc36,0002-02-13
c55,bc55,0017-05-08
c63,bc63,0006-07-14
c33,bc33,0014-05-07
c35,bc35,0015-10-19
c38,bc38,0003-02-10
c66,bc66,0017-02-04
c14,bc14,0006-07-24
c15,bc15,0020-12-16
c29,bc29,0007-11-20
c11,bc11,0014-02-27
c15,bc15,0008-01-30
c26,bc26,0002-04-13
c53,bc53,0009-10-13
c65,bc65,0020-02-23
c5,bc5,0026-02-26
c9,bc9,0006-01-27
c35,bc35,0002-08-09
c57,bc57,0011-12-06
c62,bc62,0009-01-29
c32,bc32,0014-07-12
c44,bc44,0013-06-25
c88,bc88,0016-01-28
c92,bc92,0011-09-20
c22,bc22,0019-07-20
c47,bc47,0026-08-23
